Frame,Crowd Count,Left Zone,Right Zone
1,37,17,20
2,38,18,20
3,35,18,17
4,37,18,19
5,37,19,18
6,38,19,19
7,36,18,18
8,36,18,18
9,35,18,17
10,36,19,17
11,36,19,17
12,37,20,17
13,34,18,16
14,37,19,18
15,34,16,18
16,33,14,19
17,33,15,18
18,36,16,20
19,34,16,18
20,34,16,18
21,33,14,19
22,33,15,18
23,33,14,19
24,33,14,19
25,34,14,20
26,35,14,21
27,36,15,21
28,35,15,20
29,35,15,20
30,35,15,20
31,34,15,19
32,31,15,16
33,31,15,16
34,32,15,17
35,30,15,15
36,32,14,18
37,34,16,18
38,33,15,18
39,36,15,21
40,38,17,21
41,35,17,18
42,33,15,18
43,35,15,20
44,33,14,19
45,34,15,19
46,35,15,20
47,37,17,20
48,36,16,20
49,36,16,20
50,36,18,18
51,40,19,21
52,41,19,22
53,37,18,19
54,38,18,20
55,40,18,22
56,37,16,21
57,39,18,21
58,37,17,20
59,38,16,22
60,38,16,22
61,36,16,20
62,39,19,20
63,36,16,20
64,37,17,20
65,36,17,19
66,36,17,19
67,39,19,20
68,37,18,19
69,35,16,19
70,36,16,20
71,39,18,21
72,38,17,21
73,38,16,22
74,41,20,21
75,42,20,22
76,40,19,21
77,41,19,22
78,42,21,21
